"geoname","statepostal","fips","seriesid","purpose","year","quarter","value"
"Denton County","TX","48121","COUNT","Both",2017,1,5209
"Denton County","TX","48121","COUNT","Refinance",2014,1,997
"Denton County","TX","48121","COUNT","Both",2014,1,3482
"Denton County","TX","48121","COUNT","Purchase",2014,2,3560
"Denton County","TX","48121","COUNT","Refinance",2014,2,1301
"Denton County","TX","48121","COUNT","Both",2014,2,4861
"Denton County","TX","48121","COUNT","Purchase",2014,3,3333
"Denton County","TX","48121","COUNT","Refinance",2014,3,1490
"Denton County","TX","48121","COUNT","Both",2014,3,4823
"Denton County","TX","48121","COUNT","Purchase",2014,4,2632
"Denton County","TX","48121","COUNT","Refinance",2014,4,1619
"Denton County","TX","48121","COUNT","Both",2014,4,4251
"Denton County","TX","48121","COUNT","Purchase",2015,5,13838
"Denton County","TX","48121","COUNT","Refinance",2015,5,9144
"Denton County","TX","48121","COUNT","Both",2015,5,22982
"Denton County","TX","48121","COUNT","Purchase",2015,1,2741
"Denton County","TX","48121","COUNT","Refinance",2015,1,2516
"Denton County","TX","48121","COUNT","Both",2015,1,5257
"Denton County","TX","48121","COUNT","Purchase",2015,2,4031
"Denton County","TX","48121","COUNT","Refinance",2015,2,2406
"Denton County","TX","48121","COUNT","Both",2015,2,6437
"Denton County","TX","48121","COUNT","Purchase",2015,3,3932
"Denton County","TX","48121","COUNT","Refinance",2015,3,2148
"Denton County","TX","48121","COUNT","Both",2015,3,6080
"Denton County","TX","48121","COUNT","Purchase",2015,4,3134
"Denton County","TX","48121","COUNT","Refinance",2015,4,2074
"Denton County","TX","48121","COUNT","Both",2015,4,5208
"Denton County","TX","48121","COUNT","Purchase",2016,5,14832
"Denton County","TX","48121","COUNT","Refinance",2016,5,12005
"Denton County","TX","48121","COUNT","Both",2016,5,26837
"Denton County","TX","48121","COUNT","Purchase",2016,1,3455
"Denton County","TX","48121","COUNT","Refinance",2016,1,2507
"Denton County","TX","48121","COUNT","Both",2016,1,5962
